SHEETS: SPRINT 1, SPRINT 2

--- SHEET: SPRINT 1 ---
1	Dev	Đầu việc	Chi tiết	Tiến độ	Trạng thái	Deadline 	Kết quả	Ghi chú	Sprint
2	Hùng	Xây dựng API Login cơ bản (Username/Password)	Tạo Endpoint `/api/auth/login` nhận `username`, `password`, trả về JWT (Access Token & Refresh Token)		Pending	46101.0	API login hoạt động, trả về 2 tokens.	Sử dụng Spring Security.	Sprint 1
3	Hùng	Xây dựng API Refresh Token	Endpoint `/api/auth/refresh` nhận Refresh Token, kiểm tra tính hợp lệ và trả về cặp Access/Refresh Token mới.		Pending	46101.0	Token được Refresh thành công trước khi hết hạn.	Xử lý Revoke Token (Edge Case).	Sprint 1
4	Hùng	Xây dựng màn hình Đăng nhập (UI/Logic)	Thiết kế màn hình Login (Flutter). Xử lý call API Login (Task 1) và lưu trữ Refresh Token.		Pending	46101.0	Màn hình Login đẹp, dữ liệu gửi/nhận đúng format.	Sử dụng Dio cho HTTP request.	Sprint 1
5	Hùng	Triển khai Flow Control (Guard)	Xây dựng logic kiểm tra trạng thái Login (JWT) và trạng thái Survey. Nếu chưa Survey, chuyển hướng tới màn hình Survey (Task 6).		Pending	46101.0	Logic Guard không cho phép vào Home nếu chưa Survey.		Sprint 1
6	Minh	Xây dựng API và DB cho Khảo sát bắt buộc (Survey)	Tạo DB `Survey` và `SurveyResponse`. Endpoint `/api/survey/required` trả về danh sách câu hỏi bắt buộc. Endpoint `/api/survey/submit` để nhận kết quả.	Thiết kế xong các entity
gen mock-data 

Pending: API 	Done	46101.0	API trả về 5 câu hỏi mẫu và nhận Submit thành công.	Bắt buộc xác thực qua JWT.	Sprint 1
7	Minh	Xây dựng Rule Engine cơ bản cho Recommendation	Xây dựng service (Nestjs) nhận `SurveyResponse` và output ra một tập hợp các `Tag` hoặc `Category` (ví dụ: "Người hướng nội", "Thích cà phê").		Pending	46101.0	Input/Output rule engine hoạt động (min 3 rules).	Engine cần dễ dàng mở rộng.	Sprint 1
8	Thắng	Thiết kế các màn onboarding tutorial 	khi user tải app lần đầu có thể hiểu app hơn 		Done	46102.0			Sprint 1
9	Thắng	Thiết kế và tích hợp Màn hình Khảo sát	Thiết kế UI màn hình Survey (Flutter). Xử lý call API (Task 5), hiển thị, và gửi kết quả.		Done	46101.0	User không thể bỏ qua Survey nếu chưa làm.	Xử lý trạng thái tải (loading) và lỗi mạng.	Sprint 1
10	Hải Anh	Phát triển Màn hình Home Dynamic	Thiết kế UI Home (Flutter). Call API Home (Task 8). Xây dựng logic hiển thị Widget/Nội dung khác nhau dựa trên dữ liệu trả về (Conditional Rendering).		Done	46101.0	Màn hình Home hiển thị thành công 3 loại widget khác nhau.	Tích hợp thư viện Refresh Indicator.	Sprint 1
11	Hải Anh	Xây dựng API Home Dynamic (có Recommendation)	Endpoint `/api/home/content` sử dụng Rule Engine (Task 7) và `Tag` để query DB, trả về danh sách nội dung/widget được cá nhân hóa.		Done	46101.0	API Home trả về nội dung khác nhau cho 2 profile test.	Cần Mock data nội dung (Content DB).	Sprint 1
12	Văn	Xây dựng màn hình vị trí	Tích hợp Google Maps, xin quyền GPS, lấy tọa độ hiện tại và chuyển thành địa chỉ cụ thể.		Pending	46102.0	User xác định được vị trí hiện tại trên bản đồ và lưu vào profile.	Cần API Key Google Maps và xử lý khi GPS tắt.	Sprint 1
13	Văn	Xây dựng màn hình nhập ảnh profile	Xin quyền truy cập kho ảnh/camera, chọn ảnh, xử lý cắt/nén (crop/compress) và upload lên server(Nhập khoảng 6 ảnh , yêu cầu tối thiểu 2 ảnh) 		Pending	46103.0	Ảnh profile được hiển thị và lưu trữ thành công trên database.	Chú ý quyền truy cập ảnh trên Android 13+.	Sprint 1										
14	dev	Cấu hình Google Analytics cho Flutter	Cài đặt và cấu hình thư viện GA/Firebase Analytics. Ghi nhận sự kiện `Login_Success` và `Survey_Completed`.		Pending	46101.0	2 sự kiện Analytics được ghi nhận thành công.	Đảm bảo tính bảo mật (PII).	Sprint 1
15	Thắng	QA tổng thể và Test Edge Case	Test End-to-End: Login -> Refresh Token -> Survey bắt buộc -> Home Dynamic. Edge Cases: Mất mạng, Token hết hạn (Task 12), Invalid Survey Input.		Pending	46101.0	Tất cả các luồng chính và 5 edge case hoạt động đúng.	Chuẩn bị Test Plan chi tiết.	Sprint 1
17		TÀI LIỆU CHI TIẾT	Kịch Bản Chi Tiết Sprint 1

--- SHEET: SPRINT 2 ---
1	Dev	Đầu việc	Chi tiết	Trạng thái	Deadline 	Kết quả mong muốn	Ghi chú	Sprint
2	dev	Thiết kế DB matching + chat	Tạo bảng: user_likes, matches, conversations, messages. Rule: match unique (user1_id < user2_id). 1 match chỉ có 1 conversation. Message gắn conversation_id	Pending	46116.0	DB schema được tạo đầy đủ; quan hệ giữa like, match, conversation, message rõ ràng; không tạo duplicate match/conversation.	Cần có unique constraint cho matches(user1_id,user2_id), FK đầy đủ, created_at/updated_at; nên dùng migration thay vì tạo thủ công.	Sprint 2
3	dev	Thiết kế index	Index cho: user_likes(user_id, target_user_id), matches(user1_id, user2_id), messages(conversation_id) để tránh query chậm	Pending	46116.0	Query discover, match và message chạy ổn định; không bị chậm khi dữ liệu tăng.	Bổ sung index theo pattern query thực tế; messages nên có index (conversation_id, created_at) để sort theo thời gian.	Sprint 2
4	dev	Discover API (base)	API GET /discover. Input: userId hiện tại. Output: danh sách user. Loại bỏ: chính mình, user đã like, user đã match	Pending	46116.0	API trả đúng danh sách user có thể discover; không trả chính user hiện tại, user đã like hoặc đã match.	Validate userId từ auth/session thay vì tin input FE; response nên gồm profile basic, ảnh đại diện, score, distance.	Sprint 2
5	dev	Filter location	Dùng lat/lng từ profile Sprint 1. Rule: chỉ lấy user trong 20km. Nếu <5 user → mở rộng 50km → nếu vẫn ít → fallback toàn bộ	Pending	46116.0	Danh sách discover ưu tiên user gần; fallback đúng khi số lượng user trong bán kính không đủ.	Rule fallback: 20km → 50km → all. Cần tránh fallback trả lại user đã like/match.	Sprint 2
6	dev	Xử lý location null	Nếu user chưa có location → không filter distance, fallback random list	Pending	46116.0	User chưa có location vẫn xem được discover; API không lỗi null lat/lng.	Nên đánh dấu distance = null hoặc unknown trong response; FE không hiển thị khoảng cách nếu không có dữ liệu.	Sprint 2
7	dev	Tính khoảng cách	Dùng công thức Haversine để tính distance giữa 2 user. Output trả distance (km)	Pending	46116.0	Distance trả về đúng đơn vị km, sai số chấp nhận được; sort theo distance hoạt động chính xác.	Tính ở backend để thống nhất logic; round 1 chữ số thập phân khi trả ra UI.	Sprint 2
8	dev	Compatibility scoring	Tính điểm dựa survey Sprint 1: goal giống nhau +3, emotion diff <=2 +2, relationship compatible +3. Nếu user chưa có survey → score = 0	Pending	46116.0	Score tính đúng theo rule; user thiếu survey không làm API lỗi; score mặc định = 0.	Tách scoring thành service/function riêng để Sprint 3 có thể nâng cấp AI recommendation.	Sprint 2
9	dev	Ranking discover	Sort theo: score DESC, distance ASC. Nếu score bằng nhau → ưu tiên user mới (created_at)	Pending	46116.0	Danh sách discover được xếp đúng theo độ phù hợp, khoảng cách và user mới.	Thứ tự đề xuất: score DESC → distance ASC → created_at DESC; cần xử lý distance null xuống sau hoặc fallback random.	Sprint 2
10	dev	Pagination discover	Limit 20 user/lần. Không load full DB. Dùng cursor-based	Pending	46116.0	API phân trang ổn định, không duplicate item khi load more, không query full DB.	Dùng cursor-based pagination; không nên dùng offset khi dữ liệu lớn hoặc ranking động.	Sprint 2
11	dev	API like user	POST /like. Input: targetUserId. Lưu vào user_likes. Validate: không like chính mình, không like duplicate	Pending	46116.0	Like được lưu thành công; chặn self-like và duplicate like; response trả rõ trạng thái có match hay chưa.	Unique index (user_id,target_user_id); nên có rate limit chống spam like.	Sprint 2
12	dev	Logic match	Khi A like B → check B đã like A chưa. Nếu có → tạo match. Nếu chưa → chỉ lưu like	Pending	46116.0	Tạo match đúng khi 2 user like lẫn nhau; nếu chưa mutual like thì chỉ lưu like.	Nên xử lý trong transaction: insert like → check reverse like → create match → create conversation.	Sprint 2
13	dev	Tránh duplicate match	Trước khi insert match phải check tồn tại. Rule: user1_id < user2_id để tránh trùng	Pending	46116.0	Không xuất hiện 2 match cho cùng 1 cặp user dù request bị retry hoặc 2 user thao tác đồng thời.	Chuẩn hóa user1_id=min(A,B), user2_id=max(A,B); bắt buộc có unique constraint.	Sprint 2
14	dev	Create conversation	Khi match → tạo conversation. Rule: mỗi match chỉ có 1 conversation	Pending	46116.0	Conversation được tạo tự động sau match; mỗi match chỉ mapping với 1 conversation.	Có thể đặt match_id UNIQUE trong conversations; tránh tạo conversation lần 2 khi retry.	Sprint 2
15	dev	API matches list	GET /matches. Trả danh sách user đã match + thông tin cơ bản + last message (nếu có)	Pending	46117.0	API trả danh sách match đúng user hiện tại; có thông tin đối phương và last message nếu đã chat.	Sort theo last_message_at DESC, nếu chưa có message thì sort theo matched_at DESC.	
16	dev	API conversations	GET /conversations. Trả danh sách cuộc chat của user	Pending	46118.0	API trả đúng các conversation mà user tham gia; không lộ conversation của user khác.	Cần check permission theo userId từ auth/session; trả kèm unread_count nếu có thể.	
17	dev	API messages (get)	GET /messages?conversation_id=. Trả message theo conversation. Sort theo thời gian	Pending	46119.0	API trả message đúng conversation, đúng thứ tự thời gian, có phân trang khi nhiều message.	Validate user có thuộc conversation không; nên dùng cursor theo created_at/id.	
18	dev	API messages (send)	POST /messages. Input: content. Validate: không rỗng, trim text. Lưu DB trước khi trả response	Pending	46120.0	Message được lưu DB thành công trước khi trả response; không cho gửi nội dung rỗng.	Flow chuẩn: validate → check permission → insert DB → return response → realtime push.	
19	dev	Realtime setup	Dùng Supabase realtime subscribe table messages theo conversation_id. Khi insert → push event	Pending	46121.0	Message mới được đẩy realtime tới đúng conversation; user không cần reload màn chat.	Chỉ subscribe theo conversation_id, không subscribe toàn bộ messages table để tránh tốn tài nguyên.	
20	dev	Validate message	Không cho gửi message rỗng hoặc toàn space. Giới hạn length (ví dụ 500 ký tự)	Pending	46122.0	Chặn message rỗng, toàn khoảng trắng hoặc quá dài; lỗi trả về rõ ràng cho FE.	Rule: trim(content) != ''; max length 500; cân nhắc anti-spam 1 message/300ms.	
21	dev	Discover UI	Hiển thị card user. Swipe right → like. Swipe left → skip. Load từ API discover	Pending	46123.0	UI hiển thị card user đúng dữ liệu; swipe right gọi like API, swipe left bỏ qua user hiện tại.	Cần loading, empty state, error state; preload vài card tiếp theo để swipe mượt.	
22	dev	Match modal UI	Khi match → hiển thị popup (2 avatar). Có nút “Chat ngay” hoặc “Tiếp tục swipe”	Pending	46124.0	Popup match hiển thị đúng khi API trả match=true; điều hướng chat ngay hoạt động.	Không hiển thị duplicate popup khi retry API; lấy avatar 2 user từ response match.	
23	dev	Profile detail UI	Click vào card → xem profile chi tiết	Pending	46125.0	User xem được thông tin profile chi tiết trước khi like/skip; quay lại không mất vị trí card.	Chỉ hiển thị public fields; không lộ thông tin nhạy cảm như số điện thoại/email.	
24	dev	Chat list UI	Hiển thị danh sách conversation + last message + time	Pending	46126.0	Danh sách chat hiển thị đúng conversation, last message và thời gian gần nhất.	Sort theo last message time; cần empty state khi chưa có conversation.	
25	dev	Chat detail UI	Bubble chat + input + send button	Pending	46127.0	Màn chat hiển thị bubble đúng người gửi/người nhận; gửi message hoạt động.	Auto scroll xuống cuối khi mở chat và khi có message mới; disable send khi input rỗng.	
26	dev	Realtime UI	Khi có message mới → update UI ngay không reload	Pending	46128.0	Message mới xuất hiện ngay trên màn chat và cập nhật last message ở chat list.	Cần tránh duplicate message giữa optimistic UI và realtime event.	
27	Thắng	Test discover	Test location filter + score + ranking	Pending	46129.0	Pass các case filter location, null location, scoring và ranking.	Chuẩn bị test data: user gần, user xa, user thiếu survey, user đã like/match.	
28	Thắng	Test matching	Test full flow like → match → conversation	Pending	46130.0	Pass flow A like B, B like A, tạo match và conversation đúng.	Test thêm duplicate like, self-like, 2 request đồng thời để bắt race condition.	
29	Thắng	Test chat realtime	Test 2 user chat. Expected: message hiển thị ngay	Pending	46131.0	2 user gửi/nhận message realtime ổn định; không mất message khi reload.	Test trên 2 device/tài khoản khác nhau; kiểm tra network delay và reconnect.	
30	Thắng	Integration FE + BE	Kết nối app với API. Test full flow end-to-end	Pending	46132.0	Flow end-to-end chạy được từ discover → like → match → chat.	Cần thống nhất response contract giữa FE và BE; log lỗi API rõ ràng để debug.	
31	Thắng	Fix bug	Fix lỗi: duplicate match, message mất, API sai	Pending	46133.0	Các bug critical được xử lý; không còn lỗi chặn flow chính của Sprint 2.	Ưu tiên bug theo mức độ: blocker/critical trước, UI polish sau.	
32	Thắng	Review sprint	Review toàn bộ flow: discover → match → chat	Pending	46134.0	Sprint 2 được review đầy đủ; đủ điều kiện demo hoặc chuyển sang Sprint 3.	Checklist review: API, DB, realtime, UI, performance, edge cases, test evidence.	
